no_evenm,annee,DT_ACCDN,HR_ACCDN,CD_ETAT_VICTM,CD_MUNCP,CIVIC_NUMBER,STREET_TYPE,STREET OF ACCIDENT,STREET_DIR,INTERSECTION TYPE,INTERSECTION,INTERSECTION DIRECTION,Geocoding address,NB_MORT_C,NB_BLESE_GRAVE_C,NB_BLESE_LEGER_C,nb_veh_accdn_c,agecond_1,agecond_2,agecond_3,agecond_4,agecond_5,agecond_6,agecond_7,agecond_8
301030711290010,2007,11/29/2007,18:30,3,66023,,,CHEVREMONT,,,JACQUES BIZARD,," CHEVREMONT  &  JACQUES BIZARD , Montreal, QC",0,0,1,1,79,,,,,,,
301030712020007,2007,12/2/2007,13:55,3,66023,,,LOGAN,,,ALEXANDER,," LOGAN  &  ALEXANDER , Montreal, QC",0,0,1,1,33,,,,,,,
301030712240001,2007,12/24/2007,0:54,3,66023,5025,,DES SOURCES,,,GOUIN,,"5025 DES SOURCES, Montreal, QC",0,0,1,1,28,,,,,,,
301030712240006,2007,12/24/2007,17:10,3,66023,,,PIERREFONDS,,,ST JEAN,," PIERREFONDS  &  ST JEAN , Montreal, QC",0,0,1,1,53,,,,,,,
301040701260012,2007,1/26/2007,18:35,3,66142,,BD,ST JEAN,,,ANSELME LAVIGNE,,"BD ST JEAN  &  ANSELME LAVIGNE , Montreal, QC",0,0,1,1,44,,,,,,,
301040701270003,2007,1/27/2007,12:09,3,66023,,,DES SOURCES,,,14E RUE,," DES SOURCES  &  14E RUE , Montreal, QC",0,0,1,1,38,,,,,,,
301040702010012,2007,2/1/2007,18:30,3,66023,,,GOUIN,,,CENTRE COMMERCIAL,," GOUIN  &  CENTRE COMMERCIAL , Montreal, QC",0,0,1,1,,,,,,,,
301040702270002,2007,2/27/2007,7:45,3,66142,,,SOMMERSET,,,ARGYLE,," SOMMERSET  &  ARGYLE , Montreal, QC",0,0,1,1,41,,,,,,,
301040705020001,2007,5/2/2007,8:40,3,66142,,,BLUE HAVEN,,,SALABERRY,," BLUE HAVEN  &  SALABERRY , Montreal, QC",0,0,1,1,48,,,,,,,
301040706170002,2007,6/16/2007,21:30,3,66142,,,HYMAN,,,WOODSIDE,," HYMAN  &  WOODSIDE , Montreal, QC",0,0,1,1,59,,,,,,,
301040706260007,2007,6/26/2007,11:37,3,66142,4894,,DES SOURCES,,,,,"4894 DES SOURCES, Montreal, QC",0,0,1,2,86,,,,,,,
301040707310003,2007,7/31/2007,13:00,3,66142,,,SHAKESPEARE,,,SOMERSET,," SHAKESPEARE  &  SOMERSET , Montreal, QC",0,0,1,1,,,,,,,,
301040708150007,2007,8/15/2007,12:35,3,66142,1800,,SUNNYBROOKE,,,,,"1800 SUNNYBROOKE, Montreal, QC",0,0,1,1,25,,,,,,,
301040708210006,2007,8/21/2007,13:05,3,66142,3289,,DES SOURCES,,,BRUNSWICK,,"3289 DES SOURCES, Montreal, QC",0,0,1,3,78,,,,,,,
301040709120008,2007,9/12/2007,15:38,3,66142,,,ST JEAN,,,WESTMINSTER,," ST JEAN  &  WESTMINSTER , Montreal, QC",0,0,1,1,33,,,,,,,
301040710250007,2007,10/25/2007,11:35,3,66142,,,BRUNSWICK,,,DU MARCHE,," BRUNSWICK  &  DU MARCHE , Montreal, QC",0,0,1,1,72,,,,,,,
301040711280002,2007,11/28/2007,7:45,3,66142,,,DES SOURCES,,,ANSELME LAVIGNE,," DES SOURCES  &  ANSELME LAVIGNE , Montreal, QC",0,0,1,1,75,,,,,,,
301040712160002,2007,12/15/2007,19:05,3,66142,,,BLUE HAVEN,,,ST JEAN,," BLUE HAVEN  &  ST JEAN , Montreal, QC",0,0,1,1,,,,,,,,
301050701100010,2007,1/9/2007,18:30,3,66097,6361,,TRANSCANADIENNE,,,ST JEAN,,"6361 TRANSCANADIENNE, Montreal, QC",0,0,1,1,,,,,,,,
301050701120020,2007,1/10/2007,18:25,3,66097,6321,,TRANSCANADIENNE,,,ST JEAN,,"6321 TRANSCANADIENNE, Montreal, QC",0,0,1,1,29,,,,,,,
301050702150016,2007,2/15/2007,15:05,3,66087,648,,ALBERT DE NIVERVILLE,,,ROMEO VACHON,,"648 ALBERT DE NIVERVILLE, Montreal, QC",0,0,1,1,,,,,,,,
301050702160011,2007,2/16/2007,9:34,3,66087,,,CARSON,,,COURTLAND,," CARSON  &  COURTLAND , Montreal, QC",0,0,1,1,40,,,,,,,
301050702170004,2007,2/17/2007,9:00,3,66097,,AV,DORVAL,,,DAWSON,,"AV DORVAL  &  DAWSON , Montreal, QC",0,0,1,1,25,,,,,,,
301050702280038,2007,2/28/2007,19:15,3,66097,,BD,DES SOURCES,,,CHANTECLERC,,"BD DES SOURCES  &  CHANTECLERC , Montreal, QC",0,0,1,1,,,,,,,,
301050703170006,2007,3/15/2007,17:15,3,66097,,,ST JEAN,,,DOUGLAS SHAND,," ST JEAN  &  DOUGLAS SHAND , Montreal, QC",0,0,1,1,,,,,,,,
301050703280006,2007,3/28/2007,8:25,3,66087,310,AV,DORVAL,,CH,HERRON,,"310 AV DORVAL , Montreal, QC",0,0,1,1,45,,,,,,,
301050704120015,2007,4/12/2007,10:55,2,66097,175,,STILLVIEW,,,FROLEISHER,,"175 STILLVIEW, Montreal, QC",0,1,0,1,,,,,,,,
301050704240007,2007,4/24/2007,13:29,3,66087,,AV,DORVAL,,,CARSON,,"AV DORVAL  &  CARSON , Montreal, QC",0,0,1,1,38,,,,,,,
301050704240012,2007,4/24/2007,16:29,3,66087,975,,ROMEO VACHON,N,,,,"975 ROMEO VACHON, Montreal, QC",0,0,1,1,62,,,,,,,
301050705140017,2007,5/14/2007,15:10,3,66023,,,BORD DE L'EAU,,,LAKEBREEZE,," BORD DE L'EAU  &  LAKEBREEZE , Montreal, QC",0,0,1,1,,,,,,,,
301050705140018,2007,5/14/2007,14:55,3,66087,975,,ROMEO VACHON,,,,,"975 ROMEO VACHON, Montreal, QC",0,0,1,1,51,,,,,,,
301050705200007,2007,5/20/2007,8:32,2,66087,54,,DAHLIA,,,,,"54 DAHLIA, Montreal, QC",0,1,0,1,28,,,,,,,
301050706280025,2007,6/28/2007,19:55,3,66087,975,BD,ROMEO VACHON,,,,,"975 BD ROMEO VACHON , Montreal, QC",0,0,1,1,29,,,,,,,
301050707130008,2007,7/13/2007,15:35,3,66097,203,BD,HYMUS,,BD,ST JEAN,,"203 BD HYMUS , Montreal, QC",0,0,1,1,82,,,,,,,
301050708060007,2007,8/6/2007,9:30,3,66087,1925,,HYMUS,,,ANDRE,,"1925 HYMUS, Montreal, QC",0,0,1,1,57,,,,,,,
301050708160009,2007,8/16/2007,12:50,3,66097,,,ST JEAN,,,AUT 40 TRANSCAN,," ST JEAN  &  AUT 40 TRANSCAN , Montreal, QC",0,0,1,1,84,,,,,,,
301050708270022,2007,8/27/2007,18:50,3,66087,975,,ROMEO VACHON,N,,,,"975 ROMEO VACHON, Montreal, QC",0,0,1,1,74,,,,,,,
301050709020015,2007,9/2/2007,17:42,3,66087,975,BD,ROMEO VACHON,N,,,,"975 BD ROMEO VACHON N, Montreal, QC",0,0,1,1,55,,,,,,,
301050709040030,2007,9/4/2007,16:16,3,66023,975,,ROMEO VACHON,,,,,"975 ROMEO VACHON, Montreal, QC",0,0,1,1,,,,,,,,
301050709140020,2007,9/14/2007,15:00,3,66023,5701,,TRANSCANADIENNE,,,,,"5701 TRANSCANADIENNE, Montreal, QC",0,0,1,1,,,,,,,,
301050709260016,2007,9/26/2007,18:50,3,66087,975,BD,ROMEO VACHON,,,ARR DOSMESTIQUE,,"975 BD ROMEO VACHON , Montreal, QC",0,0,1,1,37,,,,,,,
301050710100002,2007,10/10/2007,4:41,3,66097,,BD,DES SOURCES,,,AVIATION,,"BD DES SOURCES  &  AVIATION , Montreal, QC",0,0,1,1,60,,,,,,,
301050710190033,2007,10/19/2007,17:25,3,66087,975,,ROMEO VACHON,,,,,"975 ROMEO VACHON, Montreal, QC",0,0,1,1,32,,,,,,,
301050710210003,2007,10/21/2007,12:25,3,66097,6801,,TRANSCANADIENNE,,,ST JEAN,,"6801 TRANSCANADIENNE, Montreal, QC",0,0,1,1,69,,,,,,,
301050710220006,2007,10/21/2007,13:00,3,66087,900,CH,HERRON,,AV,DORVAL,,"900 CH HERRON , Montreal, QC",0,0,1,1,24,,,,,,,
301050711060026,2007,11/6/2007,19:32,3,66097,301,,BRUNSWICK,,,ST JEAN,,"301 BRUNSWICK, Montreal, QC",0,0,1,1,22,,,,,,,
301050711090011,2007,11/9/2007,15:45,2,66097,161,,LAKEVIEW,,,LANSDOWNE GARD,,"161 LAKEVIEW, Montreal, QC",0,1,0,1,55,,,,,,,
301050711230020,2007,11/23/2007,17:30,3,66087,975,BD,ROMEO VACHON,N,,,,"975 BD ROMEO VACHON N, Montreal, QC",0,0,1,1,57,,,,,,,
301050711290012,2007,11/29/2007,17:00,3,66087,975,,ROMEO VACHON,,,A DE NIVERVILLE,,"975 ROMEO VACHON, Montreal, QC",0,0,1,1,,,,,,,,
301050712190018,2007,12/19/2007,16:55,3,66087,,BD,BOUCHARD,,AV,BOURKE,,"BD BOUCHARD  & AV BOURKE , Montreal, QC",0,0,1,1,23,,,,,,,
301050712220017,2007,12/22/2007,17:06,2,66097,,BD,ST JEAN,,,LABROSSE,,"BD ST JEAN  &  LABROSSE , Montreal, QC",0,1,2,3,53,42,31,,,,,
301060701140013,2007,1/14/2007,20:55,3,66023,1200,,JULES POITRAS,,,DEGUIRE,,"1200 JULES POITRAS, Montreal, QC",0,0,1,1,25,,,,,,,
301060701180005,2007,1/18/2007,,1,66023,,,LOUISBOURG,,,LAURENTIEN,," LOUISBOURG  &  LAURENTIEN , Montreal, QC",1,0,0,1,26,,,,,,,
301060701190009,2007,1/19/2007,16:50,3,66023,,,THIMENS,,,BOIS FRANC,," THIMENS  &  BOIS FRANC , Montreal, QC",0,0,1,1,47,,,,,,,
301060701290008,2007,1/29/2007,16:00,3,66023,,,KELLER,,,COUSINEAU,," KELLER  &  COUSINEAU , Montreal, QC",0,0,1,1,29,,,,,,,
301060702020004,2007,2/2/2007,8:00,3,66023,,,ALEXIS NIHON,,,BILLERON,," ALEXIS NIHON  &  BILLERON , Montreal, QC",0,0,1,1,46,,,,,,,
301060702140006,2007,2/14/2007,9:16,3,66023,,,HENRI BOURASSA,,,LAFRANCE,," HENRI BOURASSA  &  LAFRANCE , Montreal, QC",0,0,1,3,22,23,39,,,,,
301060702190014,2007,2/19/2007,8:20,3,66023,,,HENRI BOURASSA,,,DUCHESNE,," HENRI BOURASSA  &  DUCHESNE , Montreal, QC",0,0,1,1,35,,,,,,,
301060702260019,2007,2/26/2007,19:30,3,66023,,,GUENETTE,,,BOIS FRANC,," GUENETTE  &  BOIS FRANC , Montreal, QC",0,0,1,1,26,,,,,,,
301060703010008,2007,3/1/2007,12:40,3,66023,2420,,BOURGOIN,,,,,"2420 BOURGOIN, Montreal, QC",0,0,1,1,24,,,,,,,
301060703070020,2007,3/7/2007,,3,66023,,,CONNAUGHT,,,CAMBRIDGE,," CONNAUGHT  &  CAMBRIDGE , Montreal, QC",0,0,1,1,,,,,,,,
301060703130018,2007,3/13/2007,16:32,3,66023,,CH,LAVAL,,,GRENET,,"CH LAVAL  &  GRENET , Montreal, QC",0,0,1,1,20,,,,,,,
301060703280014,2007,3/28/2007,14:29,3,66023,2850,,MARCEL LAURIN,,,LOUISBOURG,,"2850 MARCEL LAURIN, Montreal, QC",0,0,1,1,64,,,,,,,
301060703300012,2007,3/29/2007,15:30,3,66023,,,COTE VERTU,,,DECARIE,," COTE VERTU  &  DECARIE , Montreal, QC",0,0,1,1,31,,,,,,,
301060704110005,2007,4/11/2007,7:30,3,66023,4655,,HENRI BOURASSA,,,GRENET,,"4655 HENRI BOURASSA, Montreal, QC",0,0,1,1,35,,,,,,,
301060704220006,2007,4/22/2007,12:38,3,66023,,,POIRIER,,,O'BRIEN,," POIRIER  &  O'BRIEN , Montreal, QC",0,0,1,1,77,,,,,,,
301060705020011,2007,5/2/2007,15:00,3,66023,265,,COTE VERTU,,,,,"265 COTE VERTU, Montreal, QC",0,0,1,1,48,,,,,,,
301060705090019,2007,5/9/2007,20:35,3,66023,1645,,CREVIER,,,,,"1645 CREVIER, Montreal, QC",0,0,1,1,41,,,,,,,
301060705230014,2007,5/23/2007,17:18,3,66023,,,POIRIER,,,THIMENS,," POIRIER  &  THIMENS , Montreal, QC",0,0,1,1,54,,,,,,,
301060706060007,2007,6/6/2007,12:00,3,66023,,,CHAMERAN,,,ASHTON,," CHAMERAN  &  ASHTON , Montreal, QC",0,0,1,1,,,,,,,,
301060706160013,2007,6/16/2007,19:00,3,66023,1565,,DECARIE,,,DEGUIRE,,"1565 DECARIE, Montreal, QC",0,0,1,1,47,,,,,,,
301060706230010,2007,6/23/2007,19:35,3,66023,1475,,DUTRISAC,,,TASSE,,"1475 DUTRISAC, Montreal, QC",0,0,1,3,21,,,,,,,
301060706230011,2007,6/23/2007,17:09,3,66023,1595,,ALEXIS NIHON,,,,,"1595 ALEXIS NIHON, Montreal, QC",0,0,2,1,56,,,,,,,
301060706230011,2007,6/23/2007,17:09,3,66023,1595,,ALEXIS NIHON,,,,,"1595 ALEXIS NIHON, Montreal, QC",0,0,2,1,56,,,,,,,
301060707130008,2007,7/13/2007,10:35,3,66023,1515,,COTE VERTU,,,DECARIE,,"1515 COTE VERTU, Montreal, QC",0,0,1,1,61,,,,,,,
301060707160006,2007,7/16/2007,9:44,2,66023,,,HENRI BOURASSA,,,THIMENS,," HENRI BOURASSA  &  THIMENS , Montreal, QC",0,1,0,1,44,,,,,,,
301060707200007,2007,7/20/2007,15:10,2,66023,,,AUT 15,,,COTE VERTU,O," AUT 15  &  COTE VERTU O, Montreal, QC",0,1,0,1,33,,,,,,,
301060707250013,2007,7/25/2007,16:35,3,66023,,,BARDET,,,VENIARD,," BARDET  &  VENIARD , Montreal, QC",0,0,1,1,59,,,,,,,
301060708120006,2007,8/12/2007,17:10,3,66023,,,COTE VERTU,,,BEAULAC,," COTE VERTU  &  BEAULAC , Montreal, QC",0,0,1,1,22,,,,,,,
301060708180008,2007,8/17/2007,11:30,3,66023,4050,,STEINBERG,,,,,"4050 STEINBERG, Montreal, QC",0,0,1,1,,,,,,,,
301060708190008,2007,8/19/2007,17:24,3,66023,1585,,DECARIE,,,,,"1585 DECARIE, Montreal, QC",0,0,1,1,45,,,,,,,
301060709060006,2007,9/6/2007,8:00,3,66023,,,DUTRISAC,,,TASSE,," DUTRISAC  &  TASSE , Montreal, QC",0,0,1,1,35,,,,,,,
301060709140013,2007,9/14/2007,14:33,3,66023,1515,,COTE VERTU,,,DECARIE,,"1515 COTE VERTU, Montreal, QC",0,0,1,1,60,,,,,,,
301060709160006,2007,9/16/2007,11:30,3,66023,,,MARCEL LAURIN,,,COTE VERTU,," MARCEL LAURIN  &  COTE VERTU , Montreal, QC",0,0,1,1,,,,,,,,
301060709170012,2007,9/17/2007,16:59,3,66023,,,COTE VERTU,,,LEBEAU,," COTE VERTU  &  LEBEAU , Montreal, QC",0,0,1,1,64,,,,,,,
301060710150002,2007,10/15/2007,7:20,3,66023,10501,,HENRI BOURASSA,,,DOUGLAS B FLORIANI,,"10501 HENRI BOURASSA, Montreal, QC",0,0,1,1,,,,,,,,
301060710180001,2007,10/18/2007,0:03,3,66023,,,POIRIER,,,PATRICIA,," POIRIER  &  PATRICIA , Montreal, QC",0,0,1,1,48,,,,,,,
301060710180012,2007,10/18/2007,16:30,3,66023,1270,,BARRE,,,ROCHON,,"1270 BARRE, Montreal, QC",0,0,1,1,52,,,,,,,
301060711020013,2007,11/2/2007,16:50,3,66023,,,POIRIER,,,GUERTIN,," POIRIER  &  GUERTIN , Montreal, QC",0,0,1,1,34,,,,,,,
301060711070017,2007,11/7/2007,18:00,3,66023,,,COTE VERTU,,,CREVIER,," COTE VERTU  &  CREVIER , Montreal, QC",0,0,1,1,,,,,,,,
301060711090006,2007,11/9/2007,16:28,3,66023,,,POIRIER,,CH,LAVAL,," POIRIER  & CH LAVAL , Montreal, QC",0,0,1,1,38,,,,,,,
301070702270005,2007,2/27/2007,8:58,3,66023,,,MARCEL LAURIN,,,ST LOUIS,," MARCEL LAURIN  &  ST LOUIS , Montreal, QC",0,0,1,3,37,32,41,,,,,
301070703060005,2007,3/6/2007,15:40,3,66023,300,,STE CROIX,,,DION,,"300 STE CROIX, Montreal, QC",0,0,1,1,69,,,,,,,
301070703200004,2007,3/20/2007,8:43,2,66023,,,MC CAFFREY,,,,,,0,1,0,1,63,,,,,,,
301070703290004,2007,3/29/2007,8:20,3,66023,,,BERTRAND,,,PATON,," BERTRAND  &  PATON , Montreal, QC",0,0,1,1,46,,,,,,,
301070704030002,2007,4/3/2007,7:23,3,66023,,,ST LOUIS,,,DECARIE,," ST LOUIS  &  DECARIE , Montreal, QC",0,0,1,1,51,,,,,,,
301070704120010,2007,4/12/2007,15:22,2,66023,,,DU COLLEGE,,,ST GERMAIN,," DU COLLEGE  &  ST GERMAIN , Montreal, QC",0,1,0,1,59,,,,,,,
301070705100011,2007,5/10/2007,14:03,1,66023,555,,MTEE DE LIESSE,,,,,"555 MTEE DE LIESSE, Montreal, QC",1,0,0,1,38,,,,,,,
301070706120004,2007,6/12/2007,10:35,3,66023,,,MONTPELLIER,,,MUIR,," MONTPELLIER  &  MUIR , Montreal, QC",0,0,1,1,47,,,,,,,
301070706300006,2007,6/30/2007,12:25,3,66023,2340,,GOLD,,,,,"2340 GOLD, Montreal, QC",0,0,1,1,22,,,,,,,
301070707030012,2007,7/3/2007,17:40,3,66023,,,COTE VERTU,,,MONTPELLIER,," COTE VERTU  &  MONTPELLIER , Montreal, QC",0,0,1,1,21,,,,,,,
301070707210011,2007,7/21/2007,22:05,3,66023,,,COTE VERTU,,,MONTPELLIER,," COTE VERTU  &  MONTPELLIER , Montreal, QC",0,0,1,1,45,,,,,,,
301070707250011,2007,7/25/2007,15:21,2,66023,,,HOCQUART,,,COTE VERTU,," HOCQUART  &  COTE VERTU , Montreal, QC",0,1,0,1,47,,,,,,,
301070708180003,2007,8/18/2007,10:44,3,66023,,,BARRE,,,COTE VERTU,," BARRE  &  COTE VERTU , Montreal, QC",0,0,1,1,34,,,,,,,
301070709130007,2007,9/13/2007,17:45,3,66023,,,HEBERT,,,HODGE,," HEBERT  &  HODGE , Montreal, QC",0,0,1,1,88,,,,,,,
301070710010006,2007,10/1/2007,13:00,3,66023,,,DECELLES,,,ST AUBIN,," DECELLES  &  ST AUBIN , Montreal, QC",0,0,1,1,52,,,,,,,
301070710190015,2007,10/19/2007,20:16,3,66023,,,GRATTON,,,ST LOUIS,," GRATTON  &  ST LOUIS , Montreal, QC",0,0,1,1,17,,,,,,,
301070711160015,2007,11/14/2007,19:00,3,66023,,,DU COLLEGE,,,ST GERMAIN,," DU COLLEGE  &  ST GERMAIN , Montreal, QC",0,0,1,1,56,,,,,,,
301070711190018,2007,11/19/2007,14:45,3,66023,740,,COTE VERTU,,,,,"740 COTE VERTU, Montreal, QC",0,0,1,3,78,,,,,,,
301070711260028,2007,11/26/2007,17:25,3,66023,,,O BRIEN,,,POIRIER,," O BRIEN  &  POIRIER , Montreal, QC",0,0,1,1,,,,,,,,
301070711290023,2007,11/29/2007,,3,66023,,,ST GERMAIN,,,DECELLES,," ST GERMAIN  &  DECELLES , Montreal, QC",0,0,1,1,,,,,,,,
301070712060006,2007,12/6/2007,7:30,3,66023,,,COTE VERTU,,,LEBEAU,," COTE VERTU  &  LEBEAU , Montreal, QC",0,0,1,1,49,,,,,,,
301070712060015,2007,12/6/2007,10:45,3,66023,7920,,HENRI BOURASSA,,,,,"7920 HENRI BOURASSA, Montreal, QC",0,0,1,1,33,,,,,,,
301070712120006,2007,12/12/2007,7:10,3,66023,,,TASSE,,,GRENET,," TASSE  &  GRENET , Montreal, QC",0,0,1,1,45,,,,,,,
301070712150002,2007,12/15/2007,8:32,3,66023,,,BERTRAND,,,DECELLES,," BERTRAND  &  DECELLES , Montreal, QC",0,0,1,1,46,,,,,,,
301070712180017,2007,12/18/2007,8:30,3,66023,,,TASSE,,,CARDINAL,," TASSE  &  CARDINAL , Montreal, QC",0,0,1,1,55,,,,,,,
301070712200033,2007,12/20/2007,19:50,3,66023,,,COTE VERTU,,,GRIMARD,," COTE VERTU  &  GRIMARD , Montreal, QC",0,0,2,1,42,,,,,,,
301070712200033,2007,12/20/2007,19:50,3,66023,,,COTE VERTU,,,GRIMARD,," COTE VERTU  &  GRIMARD , Montreal, QC",0,0,2,1,42,,,,,,,
301080701120007,2007,1/12/2007,18:45,3,66023,,,PROVOST,,,32E AV,," PROVOST  &  32E AV , Montreal, QC",0,0,1,1,48,,,,,,,
301080703010010,2007,3/1/2007,13:17,2,66023,,,ST PIERRE,,,NOTRE-DAME,," ST PIERRE  &  NOTRE-DAME , Montreal, QC",0,1,0,1,82,,,,,,,
301080703120002,2007,3/12/2007,6:10,2,66023,2250,,43E AV,,,JOSEPH DUBREUIL,,"2250 43E AV, Montreal, QC",0,1,0,1,45,,,,,,,
301080703220004,2007,3/22/2007,10:50,3,66023,2300,,VICTORIA,,,21E AV,,"2300 VICTORIA, Montreal, QC",0,0,1,1,18,,,,,,,
301080705050006,2007,5/5/2007,12:05,3,66023,3650,,BROADWAY,,,36E AV,,"3650 BROADWAY, Montreal, QC",0,0,1,1,59,,,,,,,
301080705160007,2007,5/16/2007,10:15,3,66023,2980,,PROVOST,,,31E AV,,"2980 PROVOST, Montreal, QC",0,0,1,1,,,,,,,,
301080705160010,2007,5/16/2007,16:57,3,66023,,,10E AV,,,PROVOST,," 10E AV  &  PROVOST , Montreal, QC",0,0,1,1,78,,,,,,,
301080706010008,2007,6/1/2007,13:14,3,66023,,,NOTRE-DAME,,,25E AV,," NOTRE-DAME  &  25E AV , Montreal, QC",0,0,1,1,60,,,,,,,
301080707260010,2007,7/26/2007,20:30,3,66023,,,ST JOSEPH,,,32E AV,," ST JOSEPH  &  32E AV , Montreal, QC",0,0,1,1,45,,,,,,,
301080709250006,2007,9/25/2007,12:30,3,66023,2860,,PROVOST,,,,,"2860 PROVOST, Montreal, QC",0,0,1,1,41,,,,,,,
301080710090014,2007,10/9/2007,15:30,3,66023,,,12E AV,,,MACDONALD,," 12E AV  &  MACDONALD , Montreal, QC",0,0,1,1,47,,,,,,,
301080710220005,2007,10/22/2007,11:27,3,66023,,,25E AV,,,NOTRE-DAME,," 25E AV  &  NOTRE-DAME , Montreal, QC",0,0,1,1,52,,,,,,,
301080710250013,2007,10/25/2007,20:25,3,66023,685,,32E AV,,,PROVOST,,"685 32E AV, Montreal, QC",0,0,1,1,,,,,,,,
301080711210003,2007,11/21/2007,8:15,3,66023,,,PROVOST,,,14E AV,," PROVOST  &  14E AV , Montreal, QC",0,0,1,1,22,,,,,,,
301080711290002,2007,11/23/2007,,3,66023,,,PROVOST,,,1RE AV,," PROVOST  &  1RE AV , Montreal, QC",0,0,1,1,,,,,,,,
301080712070011,2007,12/7/2007,19:00,2,66023,3195,,VICTORIA,,,32E AV,,"3195 VICTORIA, Montreal, QC",0,1,0,1,22,,,,,,,
301080712280008,2007,12/27/2007,16:10,3,66023,2105,,LOUIS A AMOS,,,COURVAL,,"2105 LOUIS A AMOS, Montreal, QC",0,0,1,1,33,,,,,,,
301090701200001,2007,1/20/2007,11:45,3,66058,,,KILDARE,,,HUDSON,," KILDARE  &  HUDSON , Montreal, QC",0,0,1,1,83,,,,,,,
