ID,Year,Date,Time,Date and time,Civic number,Street of accident,Street direction,Corner street,Corner street direction,Intersections,Duplicate count,Geocoding address
25,2006,3/25/06,13:00,3/25/06 13:00,,PROVOST,,3E AV,,PROVOST & 3E AV,1,"PROVOST & 3E AV, Montreal, Canada"
26,2006,3/25/06,18:40,3/25/06 18:40,,COTE ST LUC,,EARNSCLIFFE,,EARNSCLIFFE & COTE ST LUC,1,"EARNSCLIFFE & COTE ST LUC, Montreal, Canada"
27,2006,3/26/06,19:24,3/26/06 19:24,,PERRAS,,ARMAND BOMBARDIER,,PERRAS & ARMAND BOMBARDIER,1,"PERRAS & ARMAND BOMBARDIER, Montreal, Canada"
28,2006,3/28/06,7:25,3/28/06 7:25,,DE MAISONNEUVE,,PLESSIS,,PLESSIS & DE MAISONNEUVE,1,"PLESSIS & DE MAISONNEUVE, Montreal, Canada"
29,2006,3/28/06,7:30,3/28/06 7:30,2555,PROVOST,,25E AV,,PROVOST & 25E AV,2,"2555 PROVOST , Montreal, Canada"
30,2006,3/28/06,8:55,3/28/06 8:55,,BOUCHERVILLE,,CURATTEAU,,CURATTEAU & BOUCHERVILLE,2,"CURATTEAU & BOUCHERVILLE, Montreal, Canada"
31,2006,3/28/06,11:37,3/28/06 11:37,,SHERBROOKE,E,DICKSON,,SHERBROOKE & DICKSON,3,"SHERBROOKE & DICKSON, Montreal, Canada"
32,2006,3/28/06,13:00,3/28/06 13:00,,ST JACQUES,,ST PHILIPPE,,ST PHILIPPE & ST JACQUES,1,"ST PHILIPPE & ST JACQUES, Montreal, Canada"
33,2006,3/28/06,14:25,3/28/06 14:25,1208,LAJOIE,,BLOOMFIELD,,LAJOIE & BLOOMFIELD,3,"1208 LAJOIE , Montreal, Canada"
34,2006,3/28/06,15:40,3/28/06 15:40,2535,DE GRANBY,,,,,1,"2535 DE GRANBY , Montreal, Canada"
35,2006,3/29/06,8:54,3/29/06 8:54,,RIVERSIDE,,MILL,,RIVERSIDE & MILL,2,"RIVERSIDE & MILL, Montreal, Canada"
36,2006,3/29/06,9:05,3/29/06 9:05,,ROY,,ST LAURENT,,ST LAURENT & ROY,1,"ST LAURENT & ROY, Montreal, Canada"
37,2006,3/30/06,8:18,3/30/06 8:18,,STE CATHERINE,,PARK,,STE CATHERINE & PARK,1,"STE CATHERINE & PARK, Montreal, Canada"
38,2006,3/30/06,17:20,3/30/06 17:20,1500,STE CATHERINE,O,,,,1,"1500 STE CATHERINE O, Montreal, Canada"
39,2006,3/30/06,21:32,3/30/06 21:32,,RACHEL,E,CHAPLEAU,,RACHEL & CHAPLEAU,2,"RACHEL & CHAPLEAU, Montreal, Canada"
40,2006,3/31/06,,3/31/06 0:00,,D'AUTEUIL,,FLEURY,,FLEURY & D'AUTEUIL,1,"FLEURY & D'AUTEUIL, Montreal, Canada"
41,2006,3/31/06,15:10,3/31/06 15:10,3980,LASALLE,,EDNA,,LASALLE & EDNA,1,"3980 LASALLE , Montreal, Canada"
42,2006,3/31/06,20:45,3/31/06 20:45,,DE LORIMIER,,AUGIER,,DE LORIMIER & AUGIER,1,"DE LORIMIER & AUGIER, Montreal, Canada"
43,2006,4/1/06,16:20,4/1/06 16:20,10350,PIE IX,,,,,1,"10350 PIE IX , Montreal, Canada"
44,2006,4/2/06,12:35,4/2/06 12:35,,GILFORD,,BREBEUF,,GILFORD & BREBEUF,5,"GILFORD & BREBEUF, Montreal, Canada"
45,2006,4/3/06,8:13,4/3/06 8:13,,35E AV,,BELLECHASSE,,BELLECHASSE & 35E AV,1,"BELLECHASSE & 35E AV, Montreal, Canada"
46,2006,4/3/06,13:23,4/3/06 13:23,,CENTRE,,ROPERY,,ROPERY & CENTRE,2,"ROPERY & CENTRE, Montreal, Canada"
47,2006,4/6/06,14:24,4/6/06 14:24,,DES GALERIES D'ANJOU,,DES HALLES,,DES HALLES & DES GALERIES D'ANJOU,1,"DES HALLES & DES GALERIES D'ANJOU, Montreal, Canada"
48,2006,4/7/06,16:30,4/7/06 16:30,,COTE STE CATHERINE,,STUART,,STUART & COTE STE CATHERINE,1,"STUART & COTE STE CATHERINE, Montreal, Canada"
49,2006,4/9/06,12:40,4/9/06 12:40,,ST DENIS,,BELLECHASSE,,ST DENIS & BELLECHASSE,6,"ST DENIS & BELLECHASSE, Montreal, Canada"
50,2006,4/9/06,13:00,4/9/06 13:00,,RENE LEVESQUE,,ST HUBERT,,ST HUBERT & RENE LEVESQUE,3,"ST HUBERT & RENE LEVESQUE, Montreal, Canada"
51,2006,4/9/06,16:45,4/9/06 16:45,182,VIAU,,LA FONTAINE,,VIAU & LA FONTAINE,1,"182 VIAU , Montreal, Canada"
52,2006,4/10/06,17:45,4/10/06 17:45,,ST HUBERT,,RACHEL,,ST HUBERT & RACHEL,3,"ST HUBERT & RACHEL, Montreal, Canada"
53,2006,4/11/06,8:00,4/11/06 8:00,,ST JEAN,,SALABERRY,,ST JEAN & SALABERRY,4,"ST JEAN & SALABERRY, Montreal, Canada"
54,2006,4/12/06,8:40,4/12/06 8:40,,PRINCE ARTHUR,,CLARK,,PRINCE ARTHUR & CLARK,4,"PRINCE ARTHUR & CLARK, Montreal, Canada"
55,2006,4/12/06,13:00,4/12/06 13:00,,STE CATHERINE,,DRUMMOND,,STE CATHERINE & DRUMMOND,3,"STE CATHERINE & DRUMMOND, Montreal, Canada"
56,2006,4/12/06,15:00,4/12/06 15:00,,RACHEL,,RIVARD,,RIVARD & RACHEL,5,"RIVARD & RACHEL, Montreal, Canada"
57,2006,4/12/06,15:25,4/12/06 15:25,,ST LAURENT,,VIGER,,VIGER & ST LAURENT,5,"VIGER & ST LAURENT, Montreal, Canada"
58,2006,4/13/06,17:10,4/13/06 17:10,,RACHEL,,DE BULLION,,RACHEL & DE BULLION,9,"RACHEL & DE BULLION, Montreal, Canada"
59,2006,4/13/06,22:50,4/13/06 22:50,456,ST LAURENT,,MONT ROYAL,,ST LAURENT & MONT ROYAL,5,"456 ST LAURENT , Montreal, Canada"
60,2006,4/14/06,,4/14/06 0:00,,STE CATHERINE,,JEANNE D'ARC,,STE CATHERINE & JEANNE D'ARC,2,"STE CATHERINE & JEANNE D'ARC, Montreal, Canada"
61,2006,4/17/06,6:15,4/17/06 6:15,,ST DENIS,,ROSEMONT,,ST DENIS & ROSEMONT,4,"ST DENIS & ROSEMONT, Montreal, Canada"
62,2006,4/18/06,15:21,4/18/06 15:21,,SHERBROOKE,,PAPINEAU,,SHERBROOKE & PAPINEAU,12,"SHERBROOKE & PAPINEAU, Montreal, Canada"
63,2006,4/19/06,8:07,4/19/06 8:07,,BERRI,,VIGER,,VIGER & BERRI,13,"VIGER & BERRI, Montreal, Canada"
64,2006,4/19/06,8:10,4/19/06 8:10,,15E AV,,ROSEMONT,,ROSEMONT & 15E AV,1,"ROSEMONT & 15E AV, Montreal, Canada"
65,2006,4/19/06,15:50,4/19/06 15:50,,ROCHON,,ST GERMAIN,,ST GERMAIN & ROCHON,1,"ST GERMAIN & ROCHON, Montreal, Canada"
66,2006,4/19/06,18:40,4/19/06 18:40,,VERDUN,,WOODLAND,,WOODLAND & VERDUN,1,"WOODLAND & VERDUN, Montreal, Canada"
67,2006,4/19/06,19:45,4/19/06 19:45,,LASALLE,,GALT,,LASALLE & GALT,2,"LASALLE & GALT, Montreal, Canada"
68,2006,4/20/06,9:50,4/20/06 9:50,,MAURICE DUPLESSIS,,CLEMENT ADER,,MAURICE DUPLESSIS & CLEMENT ADER,1,"MAURICE DUPLESSIS & CLEMENT ADER, Montreal, Canada"
69,2006,4/20/06,16:00,4/20/06 16:00,6,STE ANNE,,ST PIERRE,,STE ANNE & ST PIERRE,1,"6 STE ANNE , Montreal, Canada"
70,2006,4/20/06,17:10,4/20/06 17:10,,HOCHELAGA,,TAILLON,,TAILLON & HOCHELAGA,1,"TAILLON & HOCHELAGA, Montreal, Canada"
71,2006,4/21/06,13:10,4/21/06 13:10,50,GOUIN,,,,,1,"50 GOUIN , Montreal, Canada"
72,2006,4/21/06,18:20,4/21/06 18:20,1063,PERRAS,,,,,1,"1063 PERRAS , Montreal, Canada"
73,2006,4/21/06,18:30,4/21/06 18:30,,LAURENDEAU,,GALT,,LAURENDEAU & GALT,1,"LAURENDEAU & GALT, Montreal, Canada"
74,2006,4/22/06,17:27,4/22/06 17:27,,AUTO PLAZA,,HERMITAGE,,HERMITAGE & AUTO PLAZA,1,"HERMITAGE & AUTO PLAZA, Montreal, Canada"
75,2006,4/24/06,3:00,4/24/06 3:00,,GUY,,ST ANTOINE,,ST ANTOINE & GUY,3,"ST ANTOINE & GUY, Montreal, Canada"
76,2006,4/24/06,10:35,4/24/06 10:35,,QUERBES,,ST JOSEPH,,ST JOSEPH & QUERBES,1,"ST JOSEPH & QUERBES, Montreal, Canada"
77,2006,4/25/06,18:12,4/25/06 18:12,27,BEAUBIEN,O,,,,1,"27 BEAUBIEN O, Montreal, Canada"
78,2006,4/26/06,16:45,4/26/06 16:45,454,ST LAURENT,,ST LAURENT,,ST LAURENT & ST LAURENT,1,"454 ST LAURENT , Montreal, Canada"
79,2006,4/26/06,17:20,4/26/06 17:20,878,ST DENIS,,CREMAZIE,,ST DENIS & CREMAZIE,2,"878 ST DENIS , Montreal, Canada"
80,2006,4/26/06,18:02,4/26/06 18:02,,LAURIER,,DE GASPE,,LAURIER & DE GASPE,3,"LAURIER & DE GASPE, Montreal, Canada"
81,2006,4/27/06,8:35,4/27/06 8:35,,BERNARD,,QUERBES,,QUERBES & BERNARD,1,"QUERBES & BERNARD, Montreal, Canada"
82,2006,4/27/06,16:00,4/27/06 16:00,1054,8E AV,,DE LA GAUCHETIERE,,DE LA GAUCHETIERE & 8E AV,2,"1054 8E AV , Montreal, Canada"
83,2006,4/27/06,17:05,4/27/06 17:05,,HOGUE,,PRIEUR,,PRIEUR & HOGUE,1,"PRIEUR & HOGUE, Montreal, Canada"
84,2006,4/27/06,18:16,4/27/06 18:16,,TERREBONNE,,CORONATION,,TERREBONNE & CORONATION,1,"TERREBONNE & CORONATION, Montreal, Canada"
85,2006,4/27/06,22:48,4/27/06 22:48,,ALFRED,,DE CASTILLE,,DE CASTILLE & ALFRED,1,"DE CASTILLE & ALFRED, Montreal, Canada"
86,2006,4/29/06,12:00,4/29/06 12:00,,DE LORIMIER,,LAURIER,,LAURIER & DE LORIMIER,1,"LAURIER & DE LORIMIER, Montreal, Canada"
87,2006,4/29/06,13:10,4/29/06 13:10,,VILLERAY,,ST MICHEL,,VILLERAY & ST MICHEL,2,"VILLERAY & ST MICHEL, Montreal, Canada"
88,2006,4/29/06,16:40,4/29/06 16:40,,GUIZOT,,HENRI JULIEN,,HENRI JULIEN & GUIZOT,1,"HENRI JULIEN & GUIZOT, Montreal, Canada"
89,2006,4/30/06,15:00,4/30/06 15:00,65,CH BORD DU LAC,,,,,1,"65 CH BORD DU LAC , Montreal, Canada"
90,2006,4/30/06,15:45,4/30/06 15:45,,PROVENCHER,,DENIS PAPIN,,PROVENCHER & DENIS PAPIN,1,"PROVENCHER & DENIS PAPIN, Montreal, Canada"
91,2006,4/30/06,16:05,4/30/06 16:05,,DES GALERIES D'ANJOU,,BEAUBIEN,,DES GALERIES D'ANJOU & BEAUBIEN,1,"DES GALERIES D'ANJOU & BEAUBIEN, Montreal, Canada"
92,2006,5/1/06,7:57,5/1/06 7:57,,DE LORIMIER,,BELLECHASSE,,DE LORIMIER & BELLECHASSE,2,"DE LORIMIER & BELLECHASSE, Montreal, Canada"
93,2006,5/1/06,17:30,5/1/06 17:30,,PAPINEAU,,BARNABE LAROCQUE,,PAPINEAU & BARNABE LAROCQUE,2,"PAPINEAU & BARNABE LAROCQUE, Montreal, Canada"
94,2006,5/1/06,18:00,5/1/06 18:00,,STE CATHERINE,,DORION,,STE CATHERINE & DORION,2,"STE CATHERINE & DORION, Montreal, Canada"
95,2006,5/2/06,7:56,5/2/06 7:56,,DES ORMEAUX,,SHERBROOKE,,SHERBROOKE & DES ORMEAUX,1,"SHERBROOKE & DES ORMEAUX, Montreal, Canada"
96,2006,5/2/06,15:30,5/2/06 15:30,,2E AV,,JEAN RIVARD,,JEAN RIVARD & 2E AV,1,"JEAN RIVARD & 2E AV, Montreal, Canada"
97,2006,5/2/06,16:30,5/2/06 16:30,,ALEXANDER,,LOGAN,,LOGAN & ALEXANDER,1,"LOGAN & ALEXANDER, Montreal, Canada"
98,2006,5/3/06,8:05,5/3/06 8:05,,SHERBROOKE,,PIE IX,,SHERBROOKE & PIE IX,5,"SHERBROOKE & PIE IX, Montreal, Canada"
99,2006,5/3/06,17:43,5/3/06 17:43,,AMOS,,ALFRED,,AMOS & ALFRED,1,"AMOS & ALFRED, Montreal, Canada"
100,2006,5/4/06,11:30,5/4/06 11:30,,ONTARIO,,WOLFE,,WOLFE & ONTARIO,1,"WOLFE & ONTARIO, Montreal, Canada"
101,2006,5/4/06,11:50,5/4/06 11:50,,ALEXANDRE DESEVE,,STE CATHERINE,,STE CATHERINE & ALEXANDRE DESEVE,2,"STE CATHERINE & ALEXANDRE DESEVE, Montreal, Canada"
102,2006,5/4/06,12:30,5/4/06 12:30,,RACHEL,,DROLET,,RACHEL & DROLET,3,"RACHEL & DROLET, Montreal, Canada"
103,2006,5/4/06,13:15,5/4/06 13:15,,,,,,,,
104,2006,5/4/06,14:48,5/4/06 14:48,,MONT ROYAL,,DE LA ROCHE,,MONT ROYAL & DE LA ROCHE,3,"MONT ROYAL & DE LA ROCHE, Montreal, Canada"
105,2006,5/4/06,16:50,5/4/06 16:50,,GOHIER,,BEAUDET,,GOHIER & BEAUDET,1,"GOHIER & BEAUDET, Montreal, Canada"
106,2006,5/4/06,18:38,5/4/06 18:38,,BOURGEOYS,,FAVARD,,FAVARD & BOURGEOYS,1,"FAVARD & BOURGEOYS, Montreal, Canada"
107,2006,5/5/06,,5/5/06 0:00,,CREMAZIE,E,17E AV,,CREMAZIE & 17E AV,1,"CREMAZIE & 17E AV, Montreal, Canada"
108,2006,5/5/06,6:55,5/5/06 6:55,,JEAN TALON,,DES HALLES,,JEAN TALON & DES HALLES,4,"JEAN TALON & DES HALLES, Montreal, Canada"
109,2006,5/5/06,12:25,5/5/06 12:25,,PIE IX,,LAURIER,,PIE IX & LAURIER,2,"PIE IX & LAURIER, Montreal, Canada"
110,2006,5/5/06,18:36,5/5/06 18:36,3875,PLAMONDON,,COTE DES NEIGES,,PLAMONDON & COTE DES NEIGES,1,"3875 PLAMONDON , Montreal, Canada"
111,2006,5/5/06,18:45,5/5/06 18:45,,PROVENCHER,,ROQUEBRUNE,,ROQUEBRUNE & PROVENCHER,1,"ROQUEBRUNE & PROVENCHER, Montreal, Canada"
112,2006,5/5/06,22:00,5/5/06 22:00,6140,HENRI BOURASSA,,,,,1,"6140 HENRI BOURASSA , Montreal, Canada"
113,2006,5/5/06,22:00,5/5/06 22:00,,8E AV,,NOTRE DAME,,NOTRE DAME & 8E AV,1,"NOTRE DAME & 8E AV, Montreal, Canada"
114,2006,5/6/06,1:50,5/6/06 1:50,,MONT ROYAL,,JEANNE MANCE,,MONT ROYAL & JEANNE MANCE,2,"MONT ROYAL & JEANNE MANCE, Montreal, Canada"
115,2006,5/6/06,3:00,5/6/06 3:00,,MONT ROYAL,,CLARK,,MONT ROYAL & CLARK,3,"MONT ROYAL & CLARK, Montreal, Canada"
116,2006,5/6/06,11:00,5/6/06 11:00,,DES ORMEAUX,,NOTRE DAME,E,NOTRE DAME & DES ORMEAUX,1,"NOTRE DAME & DES ORMEAUX, Montreal, Canada"
117,2006,5/8/06,12:10,5/8/06 12:10,7101,JEAN TALON,,,,,1,"7101 JEAN TALON , Montreal, Canada"
118,2006,5/8/06,12:25,5/8/06 12:25,,ST ZOTIQUE,,16E AV,,ST ZOTIQUE & 16E AV,2,"ST ZOTIQUE & 16E AV, Montreal, Canada"
119,2006,5/8/06,15:45,5/8/06 15:45,,RACHEL,,BREBEUF,,RACHEL & BREBEUF,3,"RACHEL & BREBEUF, Montreal, Canada"
120,2006,5/8/06,16:20,5/8/06 16:20,,PAPINEAU,,MONT ROYAL,,PAPINEAU & MONT ROYAL,13,"PAPINEAU & MONT ROYAL, Montreal, Canada"
121,2006,5/8/06,22:20,5/8/06 22:20,,ST LAURENT,,DES PINS,,ST LAURENT & DES PINS,4,"ST LAURENT & DES PINS, Montreal, Canada"
122,2006,5/9/06,11:20,5/9/06 11:20,,DE MAISONNEUVE,,WOOD,,WOOD & DE MAISONNEUVE,8,"WOOD & DE MAISONNEUVE, Montreal, Canada"
123,2006,5/9/06,14:20,5/9/06 14:20,,SHERBROOKE,,DE BULLION,,SHERBROOKE & DE BULLION,3,"SHERBROOKE & DE BULLION, Montreal, Canada"
124,2006,5/9/06,17:25,5/9/06 17:25,,ST JOSEPH,,DE LORIMIER,,ST JOSEPH & DE LORIMIER,3,"ST JOSEPH & DE LORIMIER, Montreal, Canada"
125,2006,5/9/06,23:30,5/9/06 23:30,4117,ST LAURENT,,,,,1,"4117 ST LAURENT , Montreal, Canada"
126,2006,5/10/06,6:40,5/10/06 6:40,,RACHEL,,MESSIER,,RACHEL & MESSIER,3,"RACHEL & MESSIER, Montreal, Canada"
127,2006,5/10/06,10:10,5/10/06 10:10,,BOUL. ST CHARLES,,AUTOROUTE 20,,BOUL. ST CHARLES & AUTOROUTE 20,1,"BOUL. ST CHARLES & AUTOROUTE 20, Montreal, Canada"
128,2006,5/10/06,18:30,5/10/06 18:30,,LE CARON,,HADLEY,,LE CARON & HADLEY,2,"LE CARON & HADLEY, Montreal, Canada"
129,2006,5/10/06,23:50,5/10/06 23:50,,SHERBROOKE,,METCALFE,,SHERBROOKE & METCALFE,3,"SHERBROOKE & METCALFE, Montreal, Canada"
130,2006,5/11/06,8:00,5/11/06 8:00,,BEAUBIEN,,L'ASSOMPTION,,L'ASSOMPTION & BEAUBIEN,1,"L'ASSOMPTION & BEAUBIEN, Montreal, Canada"
131,2006,5/11/06,15:00,5/11/06 15:00,,MONT ROYAL,,ESPLANADE,,MONT ROYAL & ESPLANADE,4,"MONT ROYAL & ESPLANADE, Montreal, Canada"
132,2006,5/11/06,17:55,5/11/06 17:55,,NOTRE DAME,,D'ORLEANS,,NOTRE DAME & D'ORLEANS,1,"NOTRE DAME & D'ORLEANS, Montreal, Canada"
133,2006,5/11/06,18:12,5/11/06 18:12,,RACHEL,,ST ANDRE,,ST ANDRE & RACHEL,4,"ST ANDRE & RACHEL, Montreal, Canada"
134,2006,5/11/06,20:48,5/11/06 20:48,,ST DENIS,,CARRE ST LOUIS,,ST DENIS & CARRE ST LOUIS,1,"ST DENIS & CARRE ST LOUIS, Montreal, Canada"
135,2006,5/11/06,21:15,5/11/06 21:15,,DULUTH,,CLARK,,DULUTH & CLARK,2,"DULUTH & CLARK, Montreal, Canada"
136,2006,5/11/06,22:49,5/11/06 22:49,,LANGELIER,,MICHEL BOUVIER,,MICHEL BOUVIER & LANGELIER,1,"MICHEL BOUVIER & LANGELIER, Montreal, Canada"
137,2006,5/11/06,22:52,5/11/06 22:52,,MONT ROYAL,,ST HUBERT,,ST HUBERT & MONT ROYAL,3,"ST HUBERT & MONT ROYAL, Montreal, Canada"
138,2006,5/12/06,9:00,5/12/06 9:00,,BERRI,,VIGER,,VIGER & BERRI,13,"VIGER & BERRI, Montreal, Canada"
139,2006,5/12/06,16:25,5/12/06 16:25,,SAUVE,,OLYMPIA,,SAUVE & OLYMPIA,1,"SAUVE & OLYMPIA, Montreal, Canada"
140,2006,5/12/06,20:40,5/12/06 20:40,,COTE STE CATHERINE,,VINCENT D'INDY,,VINCENT D'INDY & COTE STE CATHERINE,2,"VINCENT D'INDY & COTE STE CATHERINE, Montreal, Canada"
141,2006,5/15/06,16:50,5/15/06 16:50,,,,,,,,
142,2006,5/16/06,11:11,5/16/06 11:11,,ROBERT CHEVALIER,,SHERBROOKE,,SHERBROOKE & ROBERT CHEVALIER,2,"SHERBROOKE & ROBERT CHEVALIER, Montreal, Canada"
143,2006,5/16/06,21:30,5/16/06 21:30,,RACHEL,,BOYER,,RACHEL & BOYER,2,"RACHEL & BOYER, Montreal, Canada"
144,2006,5/17/06,14:05,5/17/06 14:05,7065,SAGARD,,JEAN TALON,,SAGARD & JEAN TALON,2,"7065 SAGARD , Montreal, Canada"
145,2006,5/17/06,16:20,5/17/06 16:20,,HERRON,,DUMONT,,HERRON & DUMONT,1,"HERRON & DUMONT, Montreal, Canada"
146,2006,5/18/06,10:05,5/18/06 10:05,7217,ST DENIS,,JEAN TALON,,ST DENIS & JEAN TALON,4,"7217 ST DENIS , Montreal, Canada"
147,2006,5/18/06,23:45,5/18/06 23:45,,ST URBAIN,,DE MAISONNEUVE,,ST URBAIN & DE MAISONNEUVE,7,"ST URBAIN & DE MAISONNEUVE, Montreal, Canada"
148,2006,5/19/06,10:15,5/19/06 10:15,,ST ZOTIQUE,,DES ECORES,,ST ZOTIQUE & DES ECORES,2,"ST ZOTIQUE & DES ECORES, Montreal, Canada"
149,2006,5/19/06,15:17,5/19/06 15:17,,SHERBROOKE,,DE CARIGNAN,,SHERBROOKE & DE CARIGNAN,1,"SHERBROOKE & DE CARIGNAN, Montreal, Canada"
150,2006,5/19/06,20:00,5/19/06 20:00,7098,D'IBERVILLE,,JEAN TALON,,JEAN TALON & D'IBERVILLE,1,"7098 D'IBERVILLE , Montreal, Canada"
151,2006,5/22/06,10:22,5/22/06 10:22,4450,ST DENIS,,MONT ROYAL,,ST DENIS & MONT ROYAL,6,"4450 ST DENIS , Montreal, Canada"
152,2006,5/22/06,15:30,5/22/06 15:30,,RENE LEVESQUE,,ST ANDRE,,ST ANDRE & RENE LEVESQUE,1,"ST ANDRE & RENE LEVESQUE, Montreal, Canada"
153,2006,5/23/06,10:25,5/23/06 10:25,,DE SALABERRY,,GUERTIN,,GUERTIN & DE SALABERRY,1,"GUERTIN & DE SALABERRY, Montreal, Canada"
154,2006,5/23/06,13:05,5/23/06 13:05,,GRENET,,SALABERRY,,SALABERRY & GRENET,1,"SALABERRY & GRENET, Montreal, Canada"
155,2006,5/23/06,18:33,5/23/06 18:33,,ST DENIS,,BELLECHASSE,,ST DENIS & BELLECHASSE,6,"ST DENIS & BELLECHASSE, Montreal, Canada"
156,2006,5/23/06,20:10,5/23/06 20:10,,JOSEPH RENAUD,,WILFRID PELLETIER,,WILFRID PELLETIER & JOSEPH RENAUD,2,"WILFRID PELLETIER & JOSEPH RENAUD, Montreal, Canada"
157,2006,5/24/06,7:30,5/24/06 7:30,,DULUTH,,ST CHRISTOPHE,,ST CHRISTOPHE & DULUTH,1,"ST CHRISTOPHE & DULUTH, Montreal, Canada"
158,2006,5/24/06,16:55,5/24/06 16:55,,CHABOT,,DES CARRIERES,,DES CARRIERES & CHABOT,1,"DES CARRIERES & CHABOT, Montreal, Canada"
159,2006,5/24/06,17:45,5/24/06 17:45,,BEAUBIEN,,ST ANDRE,,ST ANDRE & BEAUBIEN,2,"ST ANDRE & BEAUBIEN, Montreal, Canada"
160,2006,5/25/06,13:50,5/25/06 13:50,,BERRI,,VIGER,,VIGER & BERRI,13,"VIGER & BERRI, Montreal, Canada"
161,2006,5/25/06,14:40,5/25/06 14:40,,FORSYTH,,GEORGE VERMETTE,,GEORGE VERMETTE & FORSYTH,1,"GEORGE VERMETTE & FORSYTH, Montreal, Canada"
162,2006,5/25/06,17:05,5/25/06 17:05,,WELLINGTON,,6E AV,,WELLINGTON & 6E AV,1,"WELLINGTON & 6E AV, Montreal, Canada"
